query,most_similar_sentence,query_content,sentence_content,jaccard_index
0,0,艺术奥科学肥固科学的责任是在按看论理去殉理经验的事实,妥固艺术文集艺术与科学科学的责任是在按照论理去整理经验的事实,0.6428571428571429
1,1,"以科学的方法去研究美与艺术,期美学与艺术学当然成剖的了",以科学的方法去研究美与艺术则美学与艺术学当然成立的了,0.7727272727272727
2,18,"科学的分类历来不一,据最近Rickert的主张凡以为自然科学与阎化科学,二考在质料上形式上都是根本对立的,由们的方法因而不同","这种分析在文化科学的方法上去努力,原是正道,然而唐钱氏却以为可以用自然科学一一论理或狭义的科学一的方法去分析",0.2361111111111111
3,3,"所谓自然科学是用普过化Generalisation的方法,萄去异质的东西,聚集同质的东西,在普融的法则上用工夫的","据最近Rickert的主张,以为自然科学与文化科学,二者在质料上形式上都是根本对立的它们的方法因而不同一一所谓自然科学是用普遍化Generalisation的方法别去异质的东西,聚集同质的东西在普遍的法则上用工夫的文化科学则不然除去同质的东西搜集附有价值的异质的东西用个别化Individualisation的方法在特殊的法则一一只一回的发见一一上用工夫的美学与艺术学是哲学的科学哲学是归类于文化科学的,那末研究美学艺术学应该用文化科学的方法",0.37
4,3,"交化科学则不然,除法同质的东西,搜焦附有价值的异质的东西,用个别化Imdividualisation的意法在特殊的法则一一只一同的发见一一用工夫的","据最近Rickert的主张,以为自然科学与文化科学,二者在质料上形式上都是根本对立的它们的方法因而不同一一所谓自然科学是用普遍化Generalisation的方法别去异质的东西,聚集同质的东西在普遍的法则上用工夫的文化科学则不然除去同质的东西搜集附有价值的异质的东西用个别化Individualisation的方法在特殊的法则一一只一回的发见一一上用工夫的美学与艺术学是哲学的科学哲学是归类于文化科学的,那末研究美学艺术学应该用文化科学的方法",0.42574257425742573
5,30,"美学与艺术学是暂学的科学,析学是归类于六化科学的,愤未研究美学艺术学应该用交化科学的方法,这是显而易见","这样看来所得的结论,无能谓美学与艺术学,均不归宿于科学而归宿于哲学,美学与艺术学离不了哲学的范围而唐氏已在这里运用普遍的法则未免发达得太迅速了",0.234375
6,5,"在色成的艺术品之下用科学方法去研究,或对临术创作的心理用科学方法法一研究",在既成的艺术品之下用科学方法去研究或对艺术创作的心理用科学方法去研究它的能力所及只限于合理的部分以外它的能力就不够了,0.5
7,35,外钓能力所及只限于合理的融分,画家的配色下笔多少是可以分析的,0.07692307692307693
8,20,以外由八能力就不够了,线韵调等不是美然而作某种的组织就生出美来,0.07407407407407407
9,6,"若艺础家剑作时根据科学的方法,从这齐产出的作品,决不是晨的艺术品","若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.7586206896551724
10,7,"近来偶读人生观之论战,见更钱氏对梁启超氏的钾了附而音这一个问题",近来偶读人生观之论战见唐钱氏对梁启超氏的辨难附带着这一个问题,0.6857142857142857
11,8,梁氏说关于威说情方面的事项,梁氏说关于感情方面的事项绝对的超科学,0.6111111111111112
12,0,绝对的超科学,妥固艺术文集艺术与科学科学的责任是在按照论理去整理经验的事实,0.1111111111111111
13,9,"这句话本是不能通岗,当以范寿康民的修正肉为妥当",这句话本是不能通过当以范寿康氏的修正案为妥当,0.72
