query,most_similar_sentence,query_content,sentence_content,jaccard_index
0,50,藝術奧科學肥固科學的責任是在按看論理去殉理經驗的事實,"这种动作就是创造,是个性的创造",0.0625
1,47,"以科學的方法去研究美與藝術,期美學與藝術學當然成剖的了","艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.1
2,31,"科學的分類曆來不一,據最近Rickert的主張凡以為自然科學與閻化科學,二考在質料上形式上都是根本對立的,由們的方法因而不同","唐氏论美的分析说我们知道野变人同小孩,常常欢喜浓艳防目的颜色,如深红浓绿等,而且不管他们怎样配合",0.06896551724137931
3,31,"所謂自然科學是用普過化Generalisation的方法,萄去異質的東西,聚集同質的東西,在普融的法則上用工夫的","唐氏论美的分析说我们知道野变人同小孩,常常欢喜浓艳防目的颜色,如深红浓绿等,而且不管他们怎样配合",0.0379746835443038
4,3,"交化科學則不然,除法同質的東西,搜焦附有價值的異質的東西,用個別化Imdividualisation的意法在特殊的法則一一只一同的發見一一用工夫的","据最近Rickert的主张,以为自然科学与文化科学,二者在质料上形式上都是根本对立的它们的方法因而不同一一所谓自然科学是用普遍化Generalisation的方法别去异质的东西,聚集同质的东西在普遍的法则上用工夫的文化科学则不然除去同质的东西搜集附有价值的异质的东西用个别化Individualisation的方法在特殊的法则一一只一回的发见一一上用工夫的美学与艺术学是哲学的科学哲学是归类于文化科学的,那末研究美学艺术学应该用文化科学的方法",0.2972972972972973
5,47,"美學與藝術學是暫學的科學,析學是歸類於六化科學的,憤未研究美學藝術學應該用交化科學的方法,這是顯而易見","艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.12244897959183673
6,5,"在色成的藝術品之下用科學方法去研究,或對臨術創作的心理用科學方法法一研究",在既成的艺术品之下用科学方法去研究或对艺术创作的心理用科学方法去研究它的能力所及只限于合理的部分以外它的能力就不够了,0.3469387755102041
7,35,外釣能力所及只限於合理的融分,画家的配色下笔多少是可以分析的,0.07692307692307693
8,20,以外由八能力就不夠了,线韵调等不是美然而作某种的组织就生出美来,0.07407407407407407
9,6,"若藝礎家劍作時根據科學的方法,從這齊產出的作品,決不是晨的藝術品","若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.34210526315789475
10,7,"近來偶讀人生觀之論戰,見更錢氏對梁啟超氏的鉀了附而音這一個問題",近来偶读人生观之论战见唐钱氏对梁启超氏的辨难附带着这一个问题,0.22916666666666666
11,8,梁氏說關於威說情方面的事項,梁氏说关于感情方面的事项绝对的超科学,0.3181818181818182
